lat,lon,alt,date,device,os,version
40.7323760986,-73.9996643066,12.5795412064,2015-05-03 06:04:48,"iPhone6,1",8.1.3,1.1
40.6960258484,-73.962677002,12.2055463791,2015-05-03 06:47:28,"iPhone6,1",8.1.3,1.1
40.6966590881,-73.9473495483,27.2607917786,2015-05-03 07:30:08,"iPhone6,1",8.1.3,1.1
40.6888771057,-73.9854278564,41.7408370972,2015-05-03 18:08:00,"iPhone6,1",8.1.3,1.1
40.7173271179,-74.0033798218,45.8723983765,2015-05-03 18:27:12,"iPhone6,1",8.1.3,1.1
40.7331848145,-73.9998550415,12.6864891052,2015-05-03 18:31:28,"iPhone6,1",8.1.3,1.1
40.7311782837,-73.9936523438,13.6485557556,2015-05-03 18:57:04,"iPhone6,1",8.1.3,1.1
40.732170105,-74.0001754761,12.0995168686,2015-05-03 22:53:52,"iPhone6,1",8.1.3,1.1
40.7169113159,-73.9969787598,10.0741739273,2015-05-03 23:13:04,"iPhone6,1",8.1.3,1.1
40.6929588318,-73.9827041626,10.0741739273,2015-05-03 23:19:28,"iPhone6,1",8.1.3,1.1
40.6954536438,-73.9481887817,28,2015-05-03 23:30:08,"iPhone6,1",8.1.3,1.1
40.6951446533,-73.9467849731,26.9859218597,2015-05-03 23:45:04,"iPhone6,1",8.1.3,1.1
40.7048072815,-73.9666976929,23.264919281,2015-05-04 15:57:52,"iPhone6,1",8.1.3,1.1
40.7332801819,-73.9997558594,22.9091663361,2015-05-04 16:04:16,"iPhone6,1",8.1.3,1.1
40.7299995422,-73.9930648804,14.9648637772,2015-05-04 16:23:28,"iPhone6,1",8.1.3,1.1
40.7255249023,-73.9964065552,13,2015-05-05 04:20:16,"iPhone6,1",8.1.3,1.1
40.7138519287,-73.9765853882,13,2015-05-05 04:28:48,"iPhone6,1",8.1.3,1.1
40.6950531006,-73.9467926025,24.2768306732,2015-05-05 04:39:28,"iPhone6,1",8.1.3,1.1
40.7101554871,-73.9691619873,23.7610340118,2015-05-05 13:32:48,"iPhone6,1",8.1.3,1.1
40.7306251526,-73.9963302612,12.8199462891,2015-05-05 13:43:28,"iPhone6,1",8.1.3,1.1
40.7296447754,-73.989730835,13,2015-05-05 23:30:08,"iPhone6,1",8.1.3,1.1
40.7306404114,-73.9955749512,13.6969671249,2015-05-06 05:22:08,"iPhone6,1",8.1.3,1.1
40.6953697205,-73.9489517212,25.2110137939,2015-05-06 06:09:04,"iPhone6,1",8.1.3,1.1
40.7119522095,-73.9692611694,24.1577529907,2015-05-06 16:12:48,"iPhone6,1",8.1.3,1.1
40.7321739197,-73.99609375,12.99629879,2015-05-06 16:19:12,"iPhone6,1",8.1.3,1.1
40.7226333618,-73.9931411743,13,2015-05-07 07:53:36,"iPhone6,1",8.1.3,1.1
40.7110862732,-73.9635925293,18.1559200287,2015-05-07 07:57:52,"iPhone6,1",8.1.3,1.1
40.695110321,-73.9467315674,24.2093200684,2015-05-07 08:12:48,"iPhone6,1",8.1.3,1.1
40.7091293335,-73.977722168,21.8862037659,2015-05-07 15:21:36,"iPhone6,1",8.1.3,1.1
40.7329559326,-73.9981307983,10.2395858765,2015-05-07 15:28:00,"iPhone6,1",8.1.3,1.1
40.7297172546,-73.9934387207,12.8516941071,2015-05-07 15:38:40,"iPhone6,1",8.1.3,1.1
40.7246131897,-73.9919967651,13,2015-05-08 01:42:24,"iPhone6,1",8.1.3,1.1
40.7055168152,-73.9843826294,18.6367225647,2015-05-08 06:19:44,"iPhone6,1",8.1.3,1.1
40.6878509521,-73.9784469604,23.0481109619,2015-05-08 06:26:08,"iPhone6,1",8.1.3,1.1
40.6872062683,-73.9475860596,29.7824497223,2015-05-08 06:34:40,"iPhone6,1",8.1.3,1.1
40.6954078674,-73.9461746216,22.6042671204,2015-05-08 06:43:12,"iPhone6,1",8.1.3,1.1
40.6950073242,-73.9524765015,22.4769477844,2015-05-08 20:50:08,"iPhone6,1",8.1.3,1.1
40.7002220154,-73.9540481567,16.8694839478,2015-05-08 20:56:32,"iPhone6,1",8.1.3,1.1
40.7043495178,-73.9583511353,13,2015-05-08 21:05:04,"iPhone6,1",8.1.3,1.1
40.7111968994,-73.9577636719,13,2015-05-08 21:15:44,"iPhone6,1",8.1.3,1.1
40.715637207,-73.9589920044,13,2015-05-08 21:26:24,"iPhone6,1",8.1.3,1.1
40.710975647,-73.9509353638,13,2015-05-08 23:34:24,"iPhone6,1",8.1.3,1.1
40.7156410217,-73.9517211914,13,2015-05-09 01:16:48,"iPhone6,1",8.1.3,1.1
40.721572876,-73.9523773193,12.5487241745,2015-05-09 01:25:20,"iPhone6,1",8.1.3,1.1
40.6948318481,-73.9462127686,21.977388382,2015-05-09 01:44:32,"iPhone6,1",8.1.3,1.1
40.6933364868,-73.9671325684,33,2015-05-09 15:36:32,"iPhone6,1",8.1.3,1.1
40.6728858948,-73.9675827026,33,2015-05-09 16:29:52,"iPhone6,1",8.1.3,1.1
